Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2022-03-01 00:00:00,Brazil,South Brazil,BR-S,103.61,144.95,81.98,79.59,ons.org.br
2022-03-02 00:00:00,Brazil,South Brazil,BR-S,94.58,134.42,83.55,81.42,ons.org.br
2022-03-03 00:00:00,Brazil,South Brazil,BR-S,91.94,131.50,84.01,82.02,ons.org.br
2022-03-04 00:00:00,Brazil,South Brazil,BR-S,94.43,134.27,83.58,81.55,ons.org.br
2022-03-05 00:00:00,Brazil,South Brazil,BR-S,111.57,154.32,80.60,78.04,ons.org.br
2022-03-06 00:00:00,Brazil,South Brazil,BR-S,121.10,165.59,78.94,76.22,ons.org.br
2022-03-07 00:00:00,Brazil,South Brazil,BR-S,92.66,131.93,83.88,81.80,ons.org.br
2022-03-08 00:00:00,Brazil,South Brazil,BR-S,77.93,115.04,86.45,84.33,ons.org.br
2022-03-09 00:00:00,Brazil,South Brazil,BR-S,82.87,120.57,85.59,83.44,ons.org.br
2022-03-10 00:00:00,Brazil,South Brazil,BR-S,81.81,119.20,85.77,83.62,ons.org.br
2022-03-11 00:00:00,Brazil,South Brazil,BR-S,94.86,134.50,83.50,81.22,ons.org.br
2022-03-12 00:00:00,Brazil,South Brazil,BR-S,114.61,158.13,80.07,77.43,ons.org.br
2022-03-13 00:00:00,Brazil,South Brazil,BR-S,90.69,129.97,84.23,81.13,ons.org.br
2022-03-14 00:00:00,Brazil,South Brazil,BR-S,81.72,119.62,85.79,83.28,ons.org.br
2022-03-15 00:00:00,Brazil,South Brazil,BR-S,86.66,125.41,84.93,82.41,ons.org.br
2022-03-16 00:00:00,Brazil,South Brazil,BR-S,87.52,125.99,84.78,82.33,ons.org.br
2022-03-17 00:00:00,Brazil,South Brazil,BR-S,82.30,120.02,85.69,83.34,ons.org.br
2022-03-18 00:00:00,Brazil,South Brazil,BR-S,78.36,115.24,86.37,84.24,ons.org.br
2022-03-19 00:00:00,Brazil,South Brazil,BR-S,78.51,114.75,86.35,83.91,ons.org.br
2022-03-20 00:00:00,Brazil,South Brazil,BR-S,94.11,133.32,83.64,80.68,ons.org.br
2022-03-21 00:00:00,Brazil,South Brazil,BR-S,73.78,108.90,87.17,84.58,ons.org.br
2022-03-22 00:00:00,Brazil,South Brazil,BR-S,67.05,100.96,88.34,85.93,ons.org.br
2022-03-23 00:00:00,Brazil,South Brazil,BR-S,63.89,98.02,88.89,86.52,ons.org.br
2022-03-24 00:00:00,Brazil,South Brazil,BR-S,70.11,105.39,87.81,85.57,ons.org.br
2022-03-25 00:00:00,Brazil,South Brazil,BR-S,54.40,86.66,90.54,88.75,ons.org.br
2022-03-26 00:00:00,Brazil,South Brazil,BR-S,58.22,90.79,89.87,88.01,ons.org.br
2022-03-27 00:00:00,Brazil,South Brazil,BR-S,67.12,101.51,88.33,86.21,ons.org.br
2022-03-28 00:00:00,Brazil,South Brazil,BR-S,49.86,82.00,91.33,89.60,ons.org.br
2022-03-29 00:00:00,Brazil,South Brazil,BR-S,45.50,76.28,92.09,90.48,ons.org.br
2022-03-30 00:00:00,Brazil,South Brazil,BR-S,42.56,72.70,92.60,91.11,ons.org.br
2022-03-31 00:00:00,Brazil,South Brazil,BR-S,44.59,75.35,92.25,90.81,ons.org.br
2022-04-01 00:00:00,Brazil,South Brazil,BR-S,46.70,78.22,91.88,90.07,ons.org.br
2022-04-02 00:00:00,Brazil,South Brazil,BR-S,55.20,87.86,90.40,87.98,ons.org.br
2022-04-03 00:00:00,Brazil,South Brazil,BR-S,60.62,93.21,89.46,86.96,ons.org.br
2022-04-04 00:00:00,Brazil,South Brazil,BR-S,42.41,72.99,92.62,91.33,ons.org.br
2022-04-05 00:00:00,Brazil,South Brazil,BR-S,44.28,75.62,92.30,91.12,ons.org.br
2022-04-06 00:00:00,Brazil,South Brazil,BR-S,39.96,70.36,93.05,91.79,ons.org.br
2022-04-07 00:00:00,Brazil,South Brazil,BR-S,39.17,69.30,93.19,91.92,ons.org.br
2022-04-08 00:00:00,Brazil,South Brazil,BR-S,41.67,72.25,92.75,91.65,ons.org.br
2022-04-09 00:00:00,Brazil,South Brazil,BR-S,48.13,79.93,91.63,90.26,ons.org.br
2022-04-10 00:00:00,Brazil,South Brazil,BR-S,57.50,90.31,90.00,87.89,ons.org.br
2022-04-11 00:00:00,Brazil,South Brazil,BR-S,39.95,69.67,93.05,92.08,ons.org.br
2022-04-12 00:00:00,Brazil,South Brazil,BR-S,38.27,68.51,93.35,92.78,ons.org.br
2022-04-13 00:00:00,Brazil,South Brazil,BR-S,35.87,65.69,93.76,93.47,ons.org.br
2022-04-14 00:00:00,Brazil,South Brazil,BR-S,36.02,65.29,93.73,93.63,ons.org.br
2022-04-15 00:00:00,Brazil,South Brazil,BR-S,58.50,91.79,89.83,88.28,ons.org.br
2022-04-16 00:00:00,Brazil,South Brazil,BR-S,63.98,98.59,88.87,86.47,ons.org.br
2022-04-17 00:00:00,Brazil,South Brazil,BR-S,65.49,100.18,88.61,85.69,ons.org.br
2022-04-18 00:00:00,Brazil,South Brazil,BR-S,50.59,82.61,91.20,89.06,ons.org.br
2022-04-19 00:00:00,Brazil,South Brazil,BR-S,48.24,79.89,91.61,89.68,ons.org.br
2022-04-20 00:00:00,Brazil,South Brazil,BR-S,49.36,81.24,91.42,89.67,ons.org.br
2022-04-21 00:00:00,Brazil,South Brazil,BR-S,56.07,89.11,90.25,88.29,ons.org.br
2022-04-22 00:00:00,Brazil,South Brazil,BR-S,52.07,84.77,90.94,89.24,ons.org.br
2022-04-23 00:00:00,Brazil,South Brazil,BR-S,59.80,93.06,89.60,87.62,ons.org.br
2022-04-24 00:00:00,Brazil,South Brazil,BR-S,70.75,105.96,87.70,85.54,ons.org.br
