Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2021-01-01 00:00:00,Brazil,North-East Brazil,BR-NE,98.52,134.52,82.87,82.86,ons.org.br
2021-01-02 00:00:00,Brazil,North-East Brazil,BR-NE,103.83,141.01,81.94,81.94,ons.org.br
2021-01-03 00:00:00,Brazil,North-East Brazil,BR-NE,107.03,143.63,81.39,81.39,ons.org.br
2021-01-04 00:00:00,Brazil,North-East Brazil,BR-NE,147.39,192.04,74.37,74.37,ons.org.br
2021-01-05 00:00:00,Brazil,North-East Brazil,BR-NE,158.00,204.10,72.52,72.52,ons.org.br
2021-01-06 00:00:00,Brazil,North-East Brazil,BR-NE,163.75,211.30,71.52,71.52,ons.org.br
2021-01-07 00:00:00,Brazil,North-East Brazil,BR-NE,174.94,224.75,69.58,69.58,ons.org.br
2021-01-08 00:00:00,Brazil,North-East Brazil,BR-NE,182.09,233.26,68.33,68.33,ons.org.br
2021-01-09 00:00:00,Brazil,North-East Brazil,BR-NE,154.96,200.97,73.05,73.05,ons.org.br
2021-01-10 00:00:00,Brazil,North-East Brazil,BR-NE,169.99,220.26,70.44,70.27,ons.org.br
2021-01-11 00:00:00,Brazil,North-East Brazil,BR-NE,203.32,260.87,64.64,64.51,ons.org.br
2021-01-12 00:00:00,Brazil,North-East Brazil,BR-NE,225.42,286.65,60.80,60.71,ons.org.br
2021-01-13 00:00:00,Brazil,North-East Brazil,BR-NE,219.56,279.19,61.82,61.77,ons.org.br
2021-01-14 00:00:00,Brazil,North-East Brazil,BR-NE,187.39,239.56,67.41,67.41,ons.org.br
2021-01-15 00:00:00,Brazil,North-East Brazil,BR-NE,174.26,223.76,69.69,69.69,ons.org.br
2021-01-16 00:00:00,Brazil,North-East Brazil,BR-NE,164.15,211.21,71.45,71.45,ons.org.br
2021-01-17 00:00:00,Brazil,North-East Brazil,BR-NE,123.99,163.07,78.44,78.44,ons.org.br
2021-01-18 00:00:00,Brazil,North-East Brazil,BR-NE,158.94,205.42,72.36,72.36,ons.org.br
2021-01-19 00:00:00,Brazil,North-East Brazil,BR-NE,174.37,223.68,69.68,69.68,ons.org.br
2021-01-20 00:00:00,Brazil,North-East Brazil,BR-NE,163.90,211.09,71.50,71.50,ons.org.br
2021-01-21 00:00:00,Brazil,North-East Brazil,BR-NE,148.10,192.27,74.24,74.24,ons.org.br
2021-01-22 00:00:00,Brazil,North-East Brazil,BR-NE,143.32,186.11,75.08,75.07,ons.org.br
2021-01-23 00:00:00,Brazil,North-East Brazil,BR-NE,110.35,146.73,80.81,80.81,ons.org.br
2021-01-24 00:00:00,Brazil,North-East Brazil,BR-NE,88.68,120.93,84.58,84.58,ons.org.br
2021-01-25 00:00:00,Brazil,North-East Brazil,BR-NE,118.72,157.21,79.35,79.35,ons.org.br
2021-01-26 00:00:00,Brazil,North-East Brazil,BR-NE,113.02,150.66,80.34,80.34,ons.org.br
2021-01-27 00:00:00,Brazil,North-East Brazil,BR-NE,107.25,144.09,81.35,81.35,ons.org.br
2021-01-28 00:00:00,Brazil,North-East Brazil,BR-NE,85.77,118.70,85.08,85.08,ons.org.br
2021-01-29 00:00:00,Brazil,North-East Brazil,BR-NE,86.42,119.34,84.97,84.97,ons.org.br
2021-01-30 00:00:00,Brazil,North-East Brazil,BR-NE,98.38,132.56,82.89,82.89,ons.org.br
2021-01-31 00:00:00,Brazil,North-East Brazil,BR-NE,102.20,137.51,82.22,82.22,ons.org.br
2021-02-01 00:00:00,Brazil,North-East Brazil,BR-NE,96.41,130.82,83.23,83.23,ons.org.br
2021-02-02 00:00:00,Brazil,North-East Brazil,BR-NE,114.07,152.37,80.16,80.16,ons.org.br
2021-02-03 00:00:00,Brazil,North-East Brazil,BR-NE,117.02,156.09,79.65,79.65,ons.org.br
2021-02-04 00:00:00,Brazil,North-East Brazil,BR-NE,134.34,176.98,76.64,76.64,ons.org.br
2021-02-05 00:00:00,Brazil,North-East Brazil,BR-NE,140.49,184.83,75.56,75.51,ons.org.br
2021-02-06 00:00:00,Brazil,North-East Brazil,BR-NE,149.03,195.60,74.07,73.71,ons.org.br
2021-02-07 00:00:00,Brazil,North-East Brazil,BR-NE,143.96,189.62,74.96,74.67,ons.org.br
2021-02-08 00:00:00,Brazil,North-East Brazil,BR-NE,155.86,203.93,72.89,72.58,ons.org.br
2021-02-09 00:00:00,Brazil,North-East Brazil,BR-NE,166.05,216.79,71.12,70.77,ons.org.br
2021-02-10 00:00:00,Brazil,North-East Brazil,BR-NE,149.80,195.41,73.95,73.90,Electricity Maps Estimation; ons.org.br
2021-02-11 00:00:00,Brazil,North-East Brazil,BR-NE,122.12,161.20,78.76,78.75,ons.org.br
2021-02-12 00:00:00,Brazil,North-East Brazil,BR-NE,110.25,146.91,80.83,80.83,ons.org.br
2021-02-13 00:00:00,Brazil,North-East Brazil,BR-NE,110.78,147.76,80.73,80.73,ons.org.br
2021-02-14 00:00:00,Brazil,North-East Brazil,BR-NE,77.38,109.26,86.54,86.51,ons.org.br
2021-02-15 00:00:00,Brazil,North-East Brazil,BR-NE,77.00,110.81,86.61,86.38,ons.org.br
2021-02-16 00:00:00,Brazil,North-East Brazil,BR-NE,129.57,174.99,77.46,77.04,ons.org.br
2021-02-17 00:00:00,Brazil,North-East Brazil,BR-NE,160.63,211.38,72.06,71.79,ons.org.br
2021-02-18 00:00:00,Brazil,North-East Brazil,BR-NE,174.77,227.41,69.61,69.41,ons.org.br
2021-02-19 00:00:00,Brazil,North-East Brazil,BR-NE,162.79,213.27,71.69,71.54,ons.org.br
2021-02-20 00:00:00,Brazil,North-East Brazil,BR-NE,124.52,166.92,78.34,78.19,ons.org.br
2021-02-21 00:00:00,Brazil,North-East Brazil,BR-NE,99.14,135.02,82.76,82.69,ons.org.br
2021-02-22 00:00:00,Brazil,North-East Brazil,BR-NE,96.55,131.75,83.21,83.21,ons.org.br
2021-02-23 00:00:00,Brazil,North-East Brazil,BR-NE,89.97,126.25,84.35,84.28,ons.org.br
2021-02-24 00:00:00,Brazil,North-East Brazil,BR-NE,76.35,110.87,86.72,86.59,ons.org.br
2021-02-25 00:00:00,Brazil,North-East Brazil,BR-NE,71.49,104.29,87.57,87.51,ons.org.br
2021-02-26 00:00:00,Brazil,North-East Brazil,BR-NE,71.24,104.22,87.61,87.58,ons.org.br
2021-02-27 00:00:00,Brazil,North-East Brazil,BR-NE,46.76,74.29,91.87,91.86,ons.org.br
2021-02-28 00:00:00,Brazil,North-East Brazil,BR-NE,38.97,63.65,93.22,93.22,ons.org.br
2021-03-01 00:00:00,Brazil,North-East Brazil,BR-NE,32.57,55.74,94.33,94.33,ons.org.br
2021-03-02 00:00:00,Brazil,North-East Brazil,BR-NE,36.56,60.27,93.64,93.64,ons.org.br
2021-03-03 00:00:00,Brazil,North-East Brazil,BR-NE,34.22,57.93,94.05,94.05,ons.org.br
2021-03-04 00:00:00,Brazil,North-East Brazil,BR-NE,29.21,51.80,94.92,94.90,ons.org.br
2021-03-05 00:00:00,Brazil,North-East Brazil,BR-NE,34.26,59.10,94.04,93.95,ons.org.br
2021-03-06 00:00:00,Brazil,North-East Brazil,BR-NE,38.12,64.58,93.37,93.16,ons.org.br
2021-03-07 00:00:00,Brazil,North-East Brazil,BR-NE,42.88,71.01,92.54,92.21,ons.org.br
2021-03-08 00:00:00,Brazil,North-East Brazil,BR-NE,44.13,73.05,92.32,91.97,ons.org.br
2021-03-09 00:00:00,Brazil,North-East Brazil,BR-NE,41.17,69.12,92.84,92.53,ons.org.br
2021-03-10 00:00:00,Brazil,North-East Brazil,BR-NE,42.89,71.15,92.54,92.20,ons.org.br
2021-03-11 00:00:00,Brazil,North-East Brazil,BR-NE,38.14,64.69,93.37,93.15,ons.org.br
2021-03-12 00:00:00,Brazil,North-East Brazil,BR-NE,35.47,60.85,93.83,93.71,ons.org.br
2021-03-13 00:00:00,Brazil,North-East Brazil,BR-NE,53.48,82.30,90.70,90.60,ons.org.br
2021-03-14 00:00:00,Brazil,North-East Brazil,BR-NE,49.08,76.44,91.46,91.39,ons.org.br
2021-03-15 00:00:00,Brazil,North-East Brazil,BR-NE,37.61,63.79,93.46,93.32,ons.org.br
2021-03-16 00:00:00,Brazil,North-East Brazil,BR-NE,38.30,65.21,93.34,93.14,ons.org.br
2021-03-17 00:00:00,Brazil,North-East Brazil,BR-NE,36.38,61.91,93.67,93.55,ons.org.br
2021-03-18 00:00:00,Brazil,North-East Brazil,BR-NE,38.14,64.59,93.37,93.19,ons.org.br
