Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2024-01-01 00:00:00,Brazil,South Brazil,BR-S,32.31,64.12,94.38,94.38,ons.org.br
2024-01-02 00:00:00,Brazil,South Brazil,BR-S,21.54,50.03,96.25,96.21,ons.org.br
2024-01-03 00:00:00,Brazil,South Brazil,BR-S,20.38,48.56,96.46,96.34,ons.org.br
2024-01-04 00:00:00,Brazil,South Brazil,BR-S,25.24,54.61,95.61,95.50,ons.org.br
2024-01-05 00:00:00,Brazil,South Brazil,BR-S,29.57,59.66,94.86,94.64,ons.org.br
2024-01-06 00:00:00,Brazil,South Brazil,BR-S,36.22,67.71,93.70,93.36,ons.org.br
2024-01-07 00:00:00,Brazil,South Brazil,BR-S,42.84,76.07,92.55,92.09,ons.org.br
2024-01-08 00:00:00,Brazil,South Brazil,BR-S,43.53,76.56,92.43,91.90,ons.org.br
2024-01-09 00:00:00,Brazil,South Brazil,BR-S,51.62,86.04,91.02,90.39,ons.org.br
2024-01-10 00:00:00,Brazil,South Brazil,BR-S,51.88,86.32,90.98,90.41,ons.org.br
2024-01-11 00:00:00,Brazil,South Brazil,BR-S,56.32,91.18,90.21,89.50,ons.org.br
2024-01-12 00:00:00,Brazil,South Brazil,BR-S,61.97,97.91,89.22,88.40,ons.org.br
2024-01-13 00:00:00,Brazil,South Brazil,BR-S,44.52,77.51,92.26,92.11,ons.org.br
2024-01-14 00:00:00,Brazil,South Brazil,BR-S,49.00,83.57,91.48,90.97,ons.org.br
2024-01-15 00:00:00,Brazil,South Brazil,BR-S,41.19,73.78,92.84,92.33,ons.org.br
2024-01-16 00:00:00,Brazil,South Brazil,BR-S,51.98,86.48,90.96,90.20,ons.org.br
2024-01-17 00:00:00,Brazil,South Brazil,BR-S,56.14,90.61,90.24,89.53,ons.org.br
2024-01-18 00:00:00,Brazil,South Brazil,BR-S,47.88,80.73,91.67,91.02,ons.org.br
2024-01-19 00:00:00,Brazil,South Brazil,BR-S,42.71,75.21,92.57,92.14,ons.org.br
2024-01-20 00:00:00,Brazil,South Brazil,BR-S,29.90,59.89,94.80,94.77,ons.org.br
2024-01-21 00:00:00,Brazil,South Brazil,BR-S,32.85,64.00,94.29,94.29,ons.org.br
2024-01-22 00:00:00,Brazil,South Brazil,BR-S,31.32,61.50,94.55,94.46,Electricity Maps Estimation; ons.org.br
2024-01-23 00:00:00,Brazil,South Brazil,BR-S,50.60,83.90,91.20,90.54,ons.org.br
2024-01-24 00:00:00,Brazil,South Brazil,BR-S,49.89,83.21,91.32,90.88,ons.org.br
2024-01-25 00:00:00,Brazil,South Brazil,BR-S,44.22,77.28,92.31,92.05,ons.org.br
2024-01-26 00:00:00,Brazil,South Brazil,BR-S,37.26,69.41,93.52,93.30,ons.org.br
