Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2022-01-01 00:00:00,Brazil,North-East Brazil,BR-NE,83.65,117.02,85.45,85.37,ons.org.br
2022-01-02 00:00:00,Brazil,North-East Brazil,BR-NE,81.69,113.95,85.79,85.79,ons.org.br
2022-01-03 00:00:00,Brazil,North-East Brazil,BR-NE,82.02,114.94,85.74,85.73,ons.org.br
2022-01-04 00:00:00,Brazil,North-East Brazil,BR-NE,79.64,112.26,86.15,86.15,ons.org.br
2022-01-05 00:00:00,Brazil,North-East Brazil,BR-NE,76.30,108.71,86.73,86.73,ons.org.br
2022-01-06 00:00:00,Brazil,North-East Brazil,BR-NE,101.15,139.01,82.41,82.41,ons.org.br
2022-01-07 00:00:00,Brazil,North-East Brazil,BR-NE,103.57,142.23,81.99,81.97,ons.org.br
2022-01-08 00:00:00,Brazil,North-East Brazil,BR-NE,109.10,147.73,81.02,81.01,ons.org.br
2022-01-09 00:00:00,Brazil,North-East Brazil,BR-NE,117.62,158.43,79.54,79.51,ons.org.br
2022-01-10 00:00:00,Brazil,North-East Brazil,BR-NE,107.47,146.16,81.31,81.30,ons.org.br
2022-01-11 00:00:00,Brazil,North-East Brazil,BR-NE,107.33,146.57,81.33,81.33,ons.org.br
2022-01-12 00:00:00,Brazil,North-East Brazil,BR-NE,106.31,145.91,81.51,81.51,ons.org.br
2022-01-13 00:00:00,Brazil,North-East Brazil,BR-NE,107.05,148.30,81.38,81.34,ons.org.br
2022-01-14 00:00:00,Brazil,North-East Brazil,BR-NE,82.88,116.83,85.59,85.59,ons.org.br
2022-01-15 00:00:00,Brazil,North-East Brazil,BR-NE,74.23,106.26,87.09,87.09,ons.org.br
2022-01-16 00:00:00,Brazil,North-East Brazil,BR-NE,80.66,115.46,85.97,85.97,Electricity Maps Estimation; ons.org.br
2022-01-17 00:00:00,Brazil,North-East Brazil,BR-NE,66.74,97.03,88.39,88.39,ons.org.br
2022-01-18 00:00:00,Brazil,North-East Brazil,BR-NE,63.34,92.27,88.98,88.98,ons.org.br
2022-01-19 00:00:00,Brazil,North-East Brazil,BR-NE,64.88,93.94,88.72,88.72,Electricity Maps Estimation; ons.org.br
2022-01-20 00:00:00,Brazil,North-East Brazil,BR-NE,65.08,96.24,88.68,88.68,ons.org.br
2022-01-21 00:00:00,Brazil,North-East Brazil,BR-NE,66.97,99.11,88.35,88.35,ons.org.br
2022-01-22 00:00:00,Brazil,North-East Brazil,BR-NE,65.15,96.62,88.67,88.67,ons.org.br
2022-01-23 00:00:00,Brazil,North-East Brazil,BR-NE,67.00,97.62,88.35,88.35,ons.org.br
2022-01-24 00:00:00,Brazil,North-East Brazil,BR-NE,66.54,98.07,88.43,88.43,ons.org.br
2022-01-25 00:00:00,Brazil,North-East Brazil,BR-NE,65.30,97.60,88.64,88.64,ons.org.br
2022-01-26 00:00:00,Brazil,North-East Brazil,BR-NE,57.41,85.92,90.02,90.02,ons.org.br
2022-01-27 00:00:00,Brazil,North-East Brazil,BR-NE,66.01,97.83,88.52,88.52,ons.org.br
