Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2023-01-01 00:00:00,Brazil,North-East Brazil,BR-NE,24.35,45.53,95.77,95.77,ons.org.br
2023-01-02 00:00:00,Brazil,North-East Brazil,BR-NE,27.84,50.28,95.16,95.16,Electricity Maps Estimation; ons.org.br
2023-01-03 00:00:00,Brazil,North-East Brazil,BR-NE,29.61,52.84,94.85,94.85,ons.org.br
2023-01-04 00:00:00,Brazil,North-East Brazil,BR-NE,29.30,52.90,94.90,94.90,ons.org.br
2023-01-05 00:00:00,Brazil,North-East Brazil,BR-NE,23.40,45.74,95.93,95.93,ons.org.br
2023-01-06 00:00:00,Brazil,North-East Brazil,BR-NE,23.23,47.22,95.96,95.89,ons.org.br
2023-01-07 00:00:00,Brazil,North-East Brazil,BR-NE,17.77,38.83,96.91,96.91,ons.org.br
2023-01-08 00:00:00,Brazil,North-East Brazil,BR-NE,18.57,39.76,96.77,96.77,ons.org.br
2023-01-09 00:00:00,Brazil,North-East Brazil,BR-NE,18.45,39.78,96.79,96.79,ons.org.br
2023-01-10 00:00:00,Brazil,North-East Brazil,BR-NE,15.61,36.33,97.28,97.28,ons.org.br
2023-01-11 00:00:00,Brazil,North-East Brazil,BR-NE,15.31,36.53,97.34,97.34,ons.org.br
2023-01-12 00:00:00,Brazil,North-East Brazil,BR-NE,15.86,37.18,97.24,97.24,Electricity Maps Estimation; ons.org.br
2023-01-13 00:00:00,Brazil,North-East Brazil,BR-NE,17.67,39.07,96.93,96.93,ons.org.br
2023-01-14 00:00:00,Brazil,North-East Brazil,BR-NE,16.22,36.66,97.18,97.18,ons.org.br
2023-01-15 00:00:00,Brazil,North-East Brazil,BR-NE,16.56,36.87,97.12,97.12,ons.org.br
2023-01-16 00:00:00,Brazil,North-East Brazil,BR-NE,16.60,37.79,97.11,97.11,ons.org.br
2023-01-17 00:00:00,Brazil,North-East Brazil,BR-NE,14.99,36.07,97.39,97.39,ons.org.br
2023-01-18 00:00:00,Brazil,North-East Brazil,BR-NE,15.15,36.10,97.36,97.36,ons.org.br
2023-01-19 00:00:00,Brazil,North-East Brazil,BR-NE,18.45,40.80,96.79,96.79,ons.org.br
2023-01-20 00:00:00,Brazil,North-East Brazil,BR-NE,23.48,48.58,95.92,95.92,ons.org.br
2023-01-21 00:00:00,Brazil,North-East Brazil,BR-NE,24.10,49.03,95.81,95.81,ons.org.br
2023-01-22 00:00:00,Brazil,North-East Brazil,BR-NE,25.16,49.91,95.62,95.62,ons.org.br
2023-01-23 00:00:00,Brazil,North-East Brazil,BR-NE,20.87,46.55,96.37,96.36,ons.org.br
2023-01-24 00:00:00,Brazil,North-East Brazil,BR-NE,20.39,45.41,96.45,96.42,ons.org.br
2023-01-25 00:00:00,Brazil,North-East Brazil,BR-NE,17.04,40.63,97.04,97.04,ons.org.br
2023-01-26 00:00:00,Brazil,North-East Brazil,BR-NE,18.03,42.33,96.86,96.86,ons.org.br
2023-01-27 00:00:00,Brazil,North-East Brazil,BR-NE,22.01,45.72,96.17,96.17,ons.org.br
2023-01-28 00:00:00,Brazil,North-East Brazil,BR-NE,19.89,41.16,96.54,96.54,ons.org.br
2023-01-29 00:00:00,Brazil,North-East Brazil,BR-NE,19.78,40.81,96.56,96.56,ons.org.br
2023-01-30 00:00:00,Brazil,North-East Brazil,BR-NE,20.98,43.20,96.35,96.35,ons.org.br
2023-01-31 00:00:00,Brazil,North-East Brazil,BR-NE,20.42,41.67,96.45,96.45,ons.org.br
2023-02-01 00:00:00,Brazil,North-East Brazil,BR-NE,20.44,41.26,96.44,96.44,ons.org.br
2023-02-02 00:00:00,Brazil,North-East Brazil,BR-NE,22.27,44.88,96.13,96.13,Electricity Maps Estimation; ons.org.br
2023-02-03 00:00:00,Brazil,North-East Brazil,BR-NE,22.91,45.53,96.02,96.02,ons.org.br
2023-02-04 00:00:00,Brazil,North-East Brazil,BR-NE,22.13,44.45,96.15,96.15,ons.org.br
2023-02-05 00:00:00,Brazil,North-East Brazil,BR-NE,25.86,49.91,95.50,95.50,ons.org.br
2023-02-06 00:00:00,Brazil,North-East Brazil,BR-NE,26.56,51.60,95.38,95.38,ons.org.br
2023-02-07 00:00:00,Brazil,North-East Brazil,BR-NE,23.61,46.67,95.90,95.90,ons.org.br
