Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2023-01-01 00:00:00,Brazil,South Brazil,BR-S,30.73,58.49,94.66,91.38,ons.org.br
2023-01-02 00:00:00,Brazil,South Brazil,BR-S,32.95,61.38,94.27,92.37,Electricity Maps Estimation; ons.org.br
2023-01-03 00:00:00,Brazil,South Brazil,BR-S,34.38,63.86,94.02,92.17,ons.org.br
2023-01-04 00:00:00,Brazil,South Brazil,BR-S,35.27,64.59,93.87,92.09,ons.org.br
2023-01-05 00:00:00,Brazil,South Brazil,BR-S,41.72,72.26,92.74,90.52,ons.org.br
2023-01-06 00:00:00,Brazil,South Brazil,BR-S,38.19,67.86,93.36,91.44,ons.org.br
2023-01-07 00:00:00,Brazil,South Brazil,BR-S,51.91,83.58,90.97,88.44,ons.org.br
2023-01-08 00:00:00,Brazil,South Brazil,BR-S,57.60,90.36,89.98,87.61,ons.org.br
2023-01-09 00:00:00,Brazil,South Brazil,BR-S,47.86,79.20,91.68,89.74,ons.org.br
2023-01-10 00:00:00,Brazil,South Brazil,BR-S,45.04,76.03,92.17,90.45,ons.org.br
2023-01-11 00:00:00,Brazil,South Brazil,BR-S,43.23,74.17,92.48,90.63,ons.org.br
2023-01-12 00:00:00,Brazil,South Brazil,BR-S,44.13,75.06,92.33,90.43,Electricity Maps Estimation; ons.org.br
2023-01-13 00:00:00,Brazil,South Brazil,BR-S,47.01,78.68,91.82,89.56,ons.org.br
2023-01-14 00:00:00,Brazil,South Brazil,BR-S,57.09,90.25,90.07,87.27,ons.org.br
2023-01-15 00:00:00,Brazil,South Brazil,BR-S,59.80,93.49,89.60,86.98,ons.org.br
2023-01-16 00:00:00,Brazil,South Brazil,BR-S,47.47,79.19,91.75,89.84,ons.org.br
2023-01-17 00:00:00,Brazil,South Brazil,BR-S,45.15,76.26,92.15,90.13,ons.org.br
2023-01-18 00:00:00,Brazil,South Brazil,BR-S,43.68,74.31,92.40,90.63,ons.org.br
2023-01-19 00:00:00,Brazil,South Brazil,BR-S,41.77,72.10,92.73,91.03,ons.org.br
2023-01-20 00:00:00,Brazil,South Brazil,BR-S,39.14,69.12,93.19,91.60,ons.org.br
2023-01-21 00:00:00,Brazil,South Brazil,BR-S,42.55,73.24,92.60,90.49,ons.org.br
2023-01-22 00:00:00,Brazil,South Brazil,BR-S,45.83,77.16,92.03,89.88,ons.org.br
2023-01-23 00:00:00,Brazil,South Brazil,BR-S,37.35,67.55,93.50,91.92,ons.org.br
2023-01-24 00:00:00,Brazil,South Brazil,BR-S,39.04,69.60,93.21,91.58,ons.org.br
2023-01-25 00:00:00,Brazil,South Brazil,BR-S,38.36,68.61,93.33,91.54,ons.org.br
2023-01-26 00:00:00,Brazil,South Brazil,BR-S,33.64,62.75,94.15,92.45,ons.org.br
2023-01-27 00:00:00,Brazil,South Brazil,BR-S,32.80,62.11,94.30,92.45,ons.org.br
2023-01-28 00:00:00,Brazil,South Brazil,BR-S,34.73,64.13,93.96,91.78,ons.org.br
2023-01-29 00:00:00,Brazil,South Brazil,BR-S,38.42,68.11,93.32,91.10,ons.org.br
2023-01-30 00:00:00,Brazil,South Brazil,BR-S,34.86,64.29,93.94,91.96,ons.org.br
2023-01-31 00:00:00,Brazil,South Brazil,BR-S,32.59,61.79,94.33,92.37,ons.org.br
2023-02-01 00:00:00,Brazil,South Brazil,BR-S,30.27,58.98,94.73,92.82,ons.org.br
2023-02-02 00:00:00,Brazil,South Brazil,BR-S,26.43,54.18,95.40,94.33,Electricity Maps Estimation; ons.org.br
2023-02-03 00:00:00,Brazil,South Brazil,BR-S,29.60,57.78,94.85,94.85,ons.org.br
2023-02-04 00:00:00,Brazil,South Brazil,BR-S,38.52,67.67,93.30,92.47,ons.org.br
2023-02-05 00:00:00,Brazil,South Brazil,BR-S,35.11,64.14,93.89,92.28,ons.org.br
2023-02-06 00:00:00,Brazil,South Brazil,BR-S,28.99,57.82,94.96,93.25,ons.org.br
2023-02-07 00:00:00,Brazil,South Brazil,BR-S,29.52,58.23,94.87,93.05,ons.org.br
2023-02-08 00:00:00,Brazil,South Brazil,BR-S,28.04,56.00,95.12,93.31,ons.org.br
2023-02-09 00:00:00,Brazil,South Brazil,BR-S,28.97,57.41,94.96,93.15,ons.org.br
2023-02-10 00:00:00,Brazil,South Brazil,BR-S,27.90,56.17,95.15,93.35,ons.org.br
2023-02-11 00:00:00,Brazil,South Brazil,BR-S,34.49,63.58,94.00,91.77,ons.org.br
2023-02-12 00:00:00,Brazil,South Brazil,BR-S,36.01,65.37,93.74,91.34,ons.org.br
2023-02-13 00:00:00,Brazil,South Brazil,BR-S,29.48,57.63,94.87,93.07,ons.org.br
2023-02-14 00:00:00,Brazil,South Brazil,BR-S,27.05,55.04,95.30,93.51,ons.org.br
2023-02-15 00:00:00,Brazil,South Brazil,BR-S,27.83,56.01,95.16,93.43,ons.org.br
2023-02-16 00:00:00,Brazil,South Brazil,BR-S,30.99,59.93,94.61,92.83,ons.org.br
2023-02-17 00:00:00,Brazil,South Brazil,BR-S,34.08,62.85,94.07,92.48,ons.org.br
2023-02-18 00:00:00,Brazil,South Brazil,BR-S,49.14,80.29,91.45,89.75,ons.org.br
2023-02-19 00:00:00,Brazil,South Brazil,BR-S,62.31,96.68,89.16,88.33,ons.org.br
2023-02-20 00:00:00,Brazil,South Brazil,BR-S,51.67,84.04,91.01,90.33,ons.org.br
2023-02-21 00:00:00,Brazil,South Brazil,BR-S,50.32,82.38,91.25,90.62,ons.org.br
2023-02-22 00:00:00,Brazil,South Brazil,BR-S,42.98,74.07,92.52,92.01,ons.org.br
2023-02-23 00:00:00,Brazil,South Brazil,BR-S,36.90,66.60,93.58,93.21,ons.org.br
2023-02-24 00:00:00,Brazil,South Brazil,BR-S,35.45,65.17,93.83,92.99,ons.org.br
2023-02-25 00:00:00,Brazil,South Brazil,BR-S,43.54,74.76,92.43,91.27,ons.org.br
2023-02-26 00:00:00,Brazil,South Brazil,BR-S,46.48,77.86,91.92,90.81,ons.org.br
2023-02-27 00:00:00,Brazil,South Brazil,BR-S,43.69,74.70,92.40,90.97,ons.org.br
2023-02-28 00:00:00,Brazil,South Brazil,BR-S,37.50,67.33,93.48,92.21,ons.org.br
2023-03-01 00:00:00,Brazil,South Brazil,BR-S,39.48,69.67,93.13,91.70,ons.org.br
2023-03-02 00:00:00,Brazil,South Brazil,BR-S,39.94,70.34,93.05,91.65,ons.org.br
2023-03-03 00:00:00,Brazil,South Brazil,BR-S,34.17,63.69,94.06,92.76,ons.org.br
2023-03-04 00:00:00,Brazil,South Brazil,BR-S,37.56,67.68,93.47,92.16,ons.org.br
2023-03-05 00:00:00,Brazil,South Brazil,BR-S,61.56,95.67,89.29,87.80,ons.org.br
2023-03-06 00:00:00,Brazil,South Brazil,BR-S,41.44,72.13,92.79,91.62,ons.org.br
2023-03-07 00:00:00,Brazil,South Brazil,BR-S,36.82,66.61,93.60,92.47,ons.org.br
2023-03-08 00:00:00,Brazil,South Brazil,BR-S,35.51,65.37,93.82,92.62,ons.org.br
2023-03-09 00:00:00,Brazil,South Brazil,BR-S,37.72,67.97,93.44,92.31,ons.org.br
2023-03-10 00:00:00,Brazil,South Brazil,BR-S,45.66,77.22,92.06,91.11,ons.org.br
2023-03-11 00:00:00,Brazil,South Brazil,BR-S,50.61,82.99,91.20,90.77,ons.org.br
2023-03-12 00:00:00,Brazil,South Brazil,BR-S,56.97,90.13,90.09,89.68,ons.org.br
2023-03-13 00:00:00,Brazil,South Brazil,BR-S,45.94,77.15,92.01,91.65,ons.org.br
2023-03-14 00:00:00,Brazil,South Brazil,BR-S,42.58,73.22,92.59,92.20,ons.org.br
2023-03-15 00:00:00,Brazil,South Brazil,BR-S,42.46,73.05,92.61,92.22,ons.org.br
2023-03-16 00:00:00,Brazil,South Brazil,BR-S,44.06,75.10,92.34,91.72,Electricity Maps Estimation; ons.org.br
2023-03-17 00:00:00,Brazil,South Brazil,BR-S,45.48,76.97,92.09,90.70,ons.org.br
2023-03-18 00:00:00,Brazil,South Brazil,BR-S,50.02,82.46,91.30,89.93,ons.org.br
2023-03-19 00:00:00,Brazil,South Brazil,BR-S,59.17,93.25,89.71,88.11,ons.org.br
2023-03-20 00:00:00,Brazil,South Brazil,BR-S,47.75,79.80,91.70,90.23,ons.org.br
2023-03-21 00:00:00,Brazil,South Brazil,BR-S,43.93,75.36,92.36,90.80,ons.org.br
2023-03-22 00:00:00,Brazil,South Brazil,BR-S,45.19,76.64,92.14,90.46,ons.org.br
2023-03-23 00:00:00,Brazil,South Brazil,BR-S,47.56,79.07,91.73,89.91,ons.org.br
2023-03-24 00:00:00,Brazil,South Brazil,BR-S,48.37,80.53,91.59,89.80,ons.org.br
2023-03-25 00:00:00,Brazil,South Brazil,BR-S,51.48,83.75,91.05,89.52,ons.org.br
2023-03-26 00:00:00,Brazil,South Brazil,BR-S,59.78,92.93,89.60,88.09,ons.org.br
2023-03-27 00:00:00,Brazil,South Brazil,BR-S,54.79,88.09,90.47,88.73,ons.org.br
