Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2021-01-01 00:00:00,Brazil,South Brazil,BR-S,153.89,204.05,72.80,69.81,ons.org.br
2021-01-02 00:00:00,Brazil,South Brazil,BR-S,131.51,177.60,77.13,74.48,ons.org.br
2021-01-03 00:00:00,Brazil,South Brazil,BR-S,120.84,164.54,78.98,76.44,ons.org.br
2021-01-04 00:00:00,Brazil,South Brazil,BR-S,119.15,163.17,78.27,76.64,ons.org.br
2021-01-05 00:00:00,Brazil,South Brazil,BR-S,139.93,188.45,74.24,72.44,ons.org.br
2021-01-06 00:00:00,Brazil,South Brazil,BR-S,142.82,193.03,73.20,71.39,ons.org.br
2021-01-07 00:00:00,Brazil,South Brazil,BR-S,127.92,175.67,75.88,74.31,ons.org.br
2021-01-08 00:00:00,Brazil,South Brazil,BR-S,124.48,171.61,76.48,75.04,ons.org.br
2021-01-09 00:00:00,Brazil,South Brazil,BR-S,115.34,159.30,79.50,78.16,ons.org.br
2021-01-10 00:00:00,Brazil,South Brazil,BR-S,110.74,152.99,80.72,79.18,ons.org.br
2021-01-11 00:00:00,Brazil,South Brazil,BR-S,101.51,143.63,80.70,79.37,ons.org.br
2021-01-12 00:00:00,Brazil,South Brazil,BR-S,113.17,158.85,77.33,75.87,ons.org.br
2021-01-13 00:00:00,Brazil,South Brazil,BR-S,120.10,167.33,75.94,74.36,ons.org.br
2021-01-14 00:00:00,Brazil,South Brazil,BR-S,121.94,168.73,75.92,74.31,ons.org.br
2021-01-15 00:00:00,Brazil,South Brazil,BR-S,120.16,166.50,76.26,74.69,ons.org.br
2021-01-16 00:00:00,Brazil,South Brazil,BR-S,111.16,153.79,80.14,78.63,ons.org.br
2021-01-17 00:00:00,Brazil,South Brazil,BR-S,118.75,162.64,79.35,77.81,ons.org.br
2021-01-18 00:00:00,Brazil,South Brazil,BR-S,126.11,173.44,76.06,74.80,ons.org.br
2021-01-19 00:00:00,Brazil,South Brazil,BR-S,146.32,198.59,71.44,70.19,ons.org.br
2021-01-20 00:00:00,Brazil,South Brazil,BR-S,124.34,171.28,76.58,75.57,ons.org.br
2021-01-21 00:00:00,Brazil,South Brazil,BR-S,112.03,156.21,79.02,78.19,ons.org.br
2021-01-22 00:00:00,Brazil,South Brazil,BR-S,107.89,150.52,80.36,79.61,ons.org.br
2021-01-23 00:00:00,Brazil,South Brazil,BR-S,108.75,150.95,80.98,80.11,ons.org.br
2021-01-24 00:00:00,Brazil,South Brazil,BR-S,117.26,161.22,79.61,78.39,ons.org.br
2021-01-25 00:00:00,Brazil,South Brazil,BR-S,97.49,138.21,83.05,82.49,ons.org.br
2021-01-26 00:00:00,Brazil,South Brazil,BR-S,97.45,138.09,83.05,82.64,ons.org.br
2021-01-27 00:00:00,Brazil,South Brazil,BR-S,87.96,126.89,84.70,84.48,ons.org.br
2021-01-28 00:00:00,Brazil,South Brazil,BR-S,92.80,132.76,83.86,83.64,ons.org.br
2021-01-29 00:00:00,Brazil,South Brazil,BR-S,89.79,129.05,84.38,84.26,ons.org.br
